gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text,subject_type,V1
68,Warlord of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Science fiction, Dejah Thoris (Fictitious character) -- Fiction, Carter, John (Fictitious character) -- Fiction, Mars (Planet) -- Fiction"
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Martians -- Fiction, Mars (Planet) -- Fiction, Science fiction"
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",55,en,"Best Books Ever Listings/Bestsellers, American, 1895-1923/US Civil War/Historical Fiction",Public domain in the USA.,TRUE,lcsh,"Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction, Virginia -- History -- Civil War, 1861-1865 -- Fiction, United States -- History -- Civil War, 1861-1865 -- Fiction, War stories, Historical fiction"
74,The Adventures of Tom Sawyer,"Twain, Mark",53,en,Banned Books from Anne Haight's list,Public domain in the USA.,TRUE,lcsh,"Mississippi River Valley -- Fiction, Sawyer, Tom (Fictitious character) -- Fiction, Adventure stories, Male friendship -- Fiction, Runaway children -- Fiction, Child witnesses -- Fiction, Humorous stories, Boys -- Fiction, Bildungsromans, Missouri -- Fiction"
76,Adventures of Huckleberry Finn,"Twain, Mark",53,en,Best Books Ever Listings/Banned Books from Anne Haight's list,Public domain in the USA.,TRUE,lcsh,"Bildungsromans, Race relations -- Fiction, Humorous stories, Mississippi River -- Fiction, Runaway children -- Fiction, Missouri -- Fiction, Boys -- Fiction, Adventure stories, Finn, Huckleberry (Fictitious character) -- Fiction, Fugitive slaves -- Fiction, Male friendship -- Fiction"
77,The House of the Seven Gables,"Hawthorne, Nathaniel",28,en,Best Books Ever Listings,Public domain in the USA.,TRUE,lcsh,"Salem (Mass.) -- Fiction, Historical fiction, Haunted houses -- Fiction, Paranormal fiction, Domestic fiction"
78,Tarzan of the Apes,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books,Public domain in the USA.,TRUE,lcsh,"Tarzan (Fictitious character) -- Fiction, Fantasy fiction, British -- Africa -- Fiction, Adventure stories, Africa -- Fiction, Wild men -- Fiction"
81,The Return of Tarzan,"Burroughs, Edgar Rice",48,en,NA,Public domain in the USA.,TRUE,lcsh,"Tarzan (Fictitious character) -- Fiction, Fantasy fiction, Adventure stories"
82,Ivanhoe: A Romance,"Scott, Walter",59,en,Best Books Ever Listings/Historical Fiction,Public domain in the USA.,TRUE,lcsh,"Triangles (Interpersonal relations) -- Fiction, Jews -- England -- Fiction, Love stories, Normans -- Great Britain -- Fiction, Anglo-Saxons -- Fiction, Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction, Great Britain -- History -- Richard I, 1189-1199 -- Fiction, Historical fiction, Knights and knighthood -- Fiction"
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",60,en,Science Fiction/Movie Books,Public domain in the USA.,TRUE,lcsh,"Space flight to the moon -- Fiction, Science fiction, Manned space flight -- Fiction, Moon -- Fiction, Space ships -- Fiction"
