The Vegetarian,"Winner of the Man Booker International Prize 2016. A beautiful, unsettling novel in three acts, about rebellion and taboo, violence and eroticism, and the twisting metamorphosis of a soul",Han Kang
Burial Rites,"Riveting and rich with lyricism, BURIAL RITES evokes a dramatic existence in a distant time and place, and asks the question, how can one woman hope to endure when her life depends upon the stories told by others?",Hannah Kent
A Little Life,"Moving to New York to pursue creative ambitions, four former classmates share decades marked by love, loss, addiction, and haunting elements from a brutal childhood.",Hanya Yanagihara
White Tears,Two ambitious young musicians are drawn into the dark underworld of blues-record collecting while navigating the fallout of a scam involving one&#39;s claim that a viral video of an unknown singer is a long-lost recording of a famous blues ...,Hari Kunzru
Go Set a Watchman,"Here is an unforgettable novel of wisdom, humanity, passion, humour and effortless precision âe&quot; a profoundly affecting work of art that is both wonderfully evocative of another era and relevant to our own times.",Harper Lee
Killing Commendatore,The epic new novel from the internationally acclaimed and best-selling author of 1Q84.,Haruki Murakami
The Kiss Quotient,"&quot;A thirty-year-old woman with Asperger&#39;s makes sense of her life using math, but one thing she can&#39;t handle is dating and the intimacy she feels it requires.",Helen Hoang
Gingerbread,"&quot;The prize-winning, bestselling author of Boy, Snow, Bird and What Is Not Yours Is Not Yours returns with a bewitching and inventive novel.&quot;--",Helen Oyeyemi
What Is Not Yours Is Not Yours,"&quot;A collection of intertwined stories built around the idea of keys, literal and metaphorical&quot;--",Helen Oyeyemi
Some Possible Solutions,"In a spine-tingling new collection, the unique and wickedly funny Helen Phillips offers an idiosyncratic series of &#39;what-ifs&#39; about our fragile human condition.",Helen Phillips
The Golem and the Jinni,"Chava, a golem brought to life by a disgraced rabbi, and Ahmad, a jinni made of fire, form an unlikely friendship on the streets of New York until a fateful choice changes everything.",Helene Wecker
The Mirror & the Light,"The story begins in May 1536: Anne Boleyn is dead, decapitated in the space of a heartbeat by a hired French executioner. As her remains are bundled into oblivion, Cromwell breakfasts with the victors.",Hilary Mantel
The Darkest Part of the Forest,"The Darkest Part of the Forest is bestselling author Holly Black&#39;s triumphant return to the opulent, enchanting faerie tales that launched her YA career.",Holly Black
The Iron Trial,"By the best-selling co-author of the Spiderwick Chronicles and the best-selling author of the Infernal Devices series. Simultaneous eBook. 100,000 first printing.","Holly Black,Cassandra Clare"
My Life Next Door,"When Samantha, the daugher of a Republican state senator, falls in love with the boy next door, she discovers a different way to live, but when her mother is involved in an accident Sam must make some difficult choices.",Huntley Fitzpatrick
Machines Like Me,"A gripping novel in which synthetic humans have become reality and quickly complicate matters of identity, life, and love: Machines Like Me is pure page-turning, thought-provoking Ian McEwan.",Ian McEwan
The Casual Vacancy,"When Barry Fairbrother dies in his early forties, the town of Pagford is left in shock and the empty seat left by Barry on the parish council soon becomes the catalyst for the biggest war the town has yet seen--Résumé de l&#39;éditeur.",J. K. Rowling
The Grip of It,&quot;A horror novel about a young couple who purchase and live in a haunted house&quot;--,Jac Jemc
Red at the Bone,"&quot;An unexpected teenage pregnancy pulls together two families from different social classes, and exposes the private hopes, disappointments, and longings that can bind or divide us from each other.",Jacqueline Woodson
Another Brooklyn,A Finalist for the 2016 National Book Award New York Times Bestseller A SeattleTimes pick for Summer Reading Roundup 2017 A Bustle Fall Roundup pick for 2017 The acclaimed New York Times bestselling and National Book Award–winning author ...,Jacqueline Woodson
The Wangs Vs. the World,"&quot;A hilarious debut novel about a wealthy but fractured Chinese immigrant family that had it all, only to lose every last cent--and about the road trip they take across America that binds them back together&quot;--",Jade Chang
The Kill Order,"Traces the fateful period after the Earth is decimated by catastrophic solar flares and reveals the stories behind the formation of WICKED, the construction of the Glade, and Thomas&#39; entry into the Maze.",James Dashner
The Death Cure,"As the third Trial draws to a close, Thomas and some of his cohorts manage to escape from WICKED, their memories having been restored, only to face new dangers as WICKED claims to be trying to protect the human race from the deadly FLARE ...",James Dashner
The Scorch Trials,"After surviving horrific conditions in the Maze, Thomas is entrapped, along with nineteen other boys, in a scientific experiment designed to observe their responses and gather data believed to be essential for the survival of the human race ...",James Dashner
Leviathan Wakes,"The first book in the landmark Expanse series, now a major television series.",James S.A. Corey
Upstate,"Over the course of six wintry days in upstate New York, the Querry family begins to struggle with the questions that animate this profound and searching novel- Why do some people find living so much harder than others?",James Wood
All Grown Up,"Hiding the truth about her unhappiness and struggles with anxiety from everyone including her family, best friend, and therapist, Andrea Bern joins her loved ones in a reevaluation of family strength in the wake of her newborn niece&#39;s ...",Jami Attenberg
Beautiful Oblivion,A once-popular young man helping to support his family after a tragic accident falls irrevocably in love with a fiercely independent and driven college student who wants to avoid romantic entanglements.,Jamie McGuire
Walking Disaster,"Follow-up to &quot;Beautiful disaster&quot;. The story through Travis&#39;s eyes. The life of Travis is full of fast women, underground gambling, and violence. But just when he thinks he is invincible, Abby Abernathy brings him to his knees.",Jamie McGuire
Beautiful Disaster,"Travis Maddox, Eastern University&#39;s playboy, makes a bet with good girl Abby that if he loses, he will remain abstinent for a month, but if he wins, Abby must live in his apartment for the same amount of time.",Jamie McGuire
I'll Give You the Sun,"A story of first love and family loss follows the estrangement between daredevil Jude and her loner twin brother, Noah, as a result of a mysterious event that is brought to light by a beautiful, broken boy and a new mentor.",Jandy Nelson
The Sky is Everywhere,"Lennie plays second clarinet in the school orchestra and has always happily been second fiddle to her charismatic older sister, Bailey.",Jandy Nelson
Dead Astronauts,"A 2020 LOCUS AWARD FINALIST Jeff VanderMeer&#39;s Dead Astronauts presents a City with no name of its own where, in the shadow of the all-powerful Company, lives human and otherwise converge in terrifying and miraculous ways.",Jeff VanderMeer
Borne,"The creatures are Mord and Borne --animal, perhaps plant, maybe company discard, biotech, cruel experiment, dinner, deity, or source of spare parts&quot;--",Jeff VanderMeer
Borne,"The creatures are Mord and Borne --animal, perhaps plant, maybe company discard, biotech, cruel experiment, dinner, deity, or source of spare parts&quot;--",Jeff VanderMeer
The Southern Reach Trilogy - Annihilation,"For 30 years, Area X has remained mysterious, remote, and concealed by the government as an environmental disaster zone even though it is to all appearances pristine wilderness.",Jeff VanderMeer
The Statistical Probability of Love at First Sight,Who would have guessed that four minutes could change everything?,Jennifer E. Smith
A Visit from the Goon Squad,"Working side-by-side for a record label, former punk rocker Bennie Salazar and the passionate Sasha hide illicit secrets from one another while interacting with a motley assortment of equally troubled people from 1970s San Francisco to the ...",Jennifer Egan
Obsidian,"When seventeen-year-old Katy moves to West Virginia she expects to be bored, until she meets her neighbor who just happens to be an alien.",Jennifer L. Armentrout
Half-Blood,Includes a bonus novella entitled Daimon.,Jennifer L. Armentrout
A Girl Is a Body of Water,"Makumbi&#39;s unforgettable novel is a sweeping testament to the true and lasting connections between history, tradition, family, friends, and the promise of a different future&quot;--",Jennifer Nansubuga Makumbi
All the Bright Places,"Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself.",Jennifer Niven
The Marriage Bargain,"In order to serve their own selfish needs, struggling bookstore owner Alexa and billionaire Nicholas decide to be in a loveless marriage for only a year, but things get complicated when love grows between them.",Jennifer Probst
Big Summer,"AN INSTANT NEW YORK TIMES BESTSELLER “Sexy and satisfying, Big Summer is the perfect quarantine read.” —USA TODAY “The beach read to end all beach reads.” —Entertainment Weekly “Big fun, and then some.",Jennifer Weiner
P.S. I Still Love You,&quot;Lara Jean didn&#39;t expect to really fall for Peter.,Jenny Han
To All the Boys I've Loved Before,Lara Jean keeps her love letters in a hatbox her mother gave her.,Jenny Han
It's Not Summer Without You,"In Jenny Han&#39;s follow-up to The Summer I Turned Pretty, Belly finds out what comes after falling in love. Now available in paperback!",Jenny Han
Furiously Happy,"&quot; -Allie Brosh, author ofHyperbole and a Half For fans of David Sedaris, Tina Fey, and Mindy Kaling-the new book from Jenny Lawson, author of the #1New York Times bestseller LET&#39;S PRETEND THIS NEVER HAPPENED.",Jenny Lawson
Weather,"From the author of the nationwide best seller Dept. of Speculation--one of the New York Times Book Review&#39;s Ten Best Books of the Year--a shimmering tour de force about a family, and a nation, in crisis Lizzie Benson slid into her job as a ...",Jenny Offill
"Sing, Unburied, Sing",&quot;A searing and profound Southern odyssey through Mississippi&#39;s past and present&quot;--,Jesmyn Ward
Me and Earl and the Dying Girl,"A hilarious, outrageous, and truthful look at friendship, high school - and death - from a talented debut author.",Jesse Andrews
Luckiest Girl Alive,"Grooming herself for an ideal life involving a successful career and a happy marriage, a rising young journalist confronts a violent episode from her past that threatens to unravel everything she has worked to achieve. A first novel.",Jessica Knoll
The Miniaturist,"It&#39;s haunting, magical and full of surprises, the kind of book that reminds you why you fell in love with reading&#39;S. J. Watson, author of Before I Go To Sleep",Jessie Burton
Leaving Time,"Abandoned by a grief-stricken father and accomplished-scientist mother who disappeared under mysterious circumstances, 13-year-old Jenna Metcalf approaches a disgraced psychic and a jaded detective in the hopes of finding answers.",Jodi Picoult
The Storyteller,An astonishing novel about redemption and forgiveness from #1 &quot;New York Times&quot;-bestselling author Picoult.,Jodi Picoult
House Rules,"A teenager with Asperger&#39;s syndrome--smart, quirky, with a passion for crime scene analysis--winds up on trial for murder.",Jodi Picoult
NOS-4R2,"NOS4R2 is an old-fashioned horror novel in the best sense. Claustrophobic, gripping and terrifying, this is a story that will have you on the edge of the seat while you read, and leaving the lights on while you sleep.",Joe Hill
A Ladder to the Sky,"Aspiring writer Maurice Swift, whose desire for fame exceeds his talent, uses a chance meeting with celebrated novelist Erich Ackermann in a West Berlin hotel in 1988 to obtain secrets about Ackermann&#39;s wartime activities, which becomes ...",John Boyne
The Heart's Invisible Furies,"&quot;Originally published in the United Kingdom by Doubleday, an imprint of Transworld Publishers, a Penguin Random House company, London.&quot;--Title page verso.",John Boyne
The Fault in Our Stars,"Despite the medical miracle that has bought her a few more years, Hazel has never been anything but terminal, but when Augustus Waters suddenly appears at the Cancer Kid Support Group, Hazel&#39;s story is about to be rewritten.",John Green
"Will Grayson, Will Grayson","When two teens, one gay and one straight, meet accidentally and discover that they share the same name, their lives become intertwined as one begins dating the other&#39;s best friend, who produces a play revealing his relationship with them ...","John Green,David Levithan"
After You,After the transformative six months spent with Will Traynor.,Jojo Moyes
Me Before You,Lou Clark knows lots of things but she doesn&#39;t know is she&#39;s about to lose her job or that knowing what&#39;s coming is what keeps her sane.,Jojo Moyes
Septimania,"Septimania, Jonathan Levi&#39;s first novel since 1992&#39;s critically acclaimed A Guide for the Perplexed, is a major work--a story at once personal and mythic, with themes as large as the universe and as small as an appleseed.",Jonathan Levi
Bird Box,Most people ignored the outrageous reports on the news.,Josh Malerman
The Shape of the Ruins,"Separated by more than 30 years, the two murders at first appear unconnected, but as the novel progresses Vasquez reveals how between them they contain the seeds of the violence that has bedevilled Colombia ever since.",Juan Gabriel Vásquez
Best Worst American,"Imaginary countries. Real countries. The best and worst of both in short, cutting, refreshing stories.",Juan Martinez
salt slow,"In her electrifying debut, Julia Armfield explores women’s experiences in contemporary society, mapped through their bodies. As urban dwellers’ sleeps become disassociated from them, like Peter Pan’s shadow, a city turns insomniac.",Julia Armfield
Over the Plain Houses,A Depression-era Appalachian farm wife is branded as a witch by her fundamentalist husband when she bonds with a USDA agent who has traveled to the North Carolina mountains to instruct regional families on how to modernize their homes and ...,Julia Franks
Disappearing Earth,"ONE OF THE NEW YORK TIMES 10 BEST BOOKS OF THE YEAR NATIONAL BOOK AWARD FINALIST One August afternoon, two sisters--Sophia, eight, and Alyona, eleven--go missing from a beach on the far-flung Kamchatka Peninsula in northeastern Russia.",Julia Phillips
Marlena,"An electric debut novel about love, addiction, and loss; the story of two girls and the feral year that will cost one her life, and define the other’s for decades",Julie Buntin
The Iron King,"Meghan Chase has a secret destiny—one she could never have imagined… Something has always felt slightly off in Meghan&#39;s life, ever since her father disappeared before her eyes when she was six.",Julie Kagawa
The Iron Daughter,"Half Summer faery princess, half human, Meghan has never fitted in anywhere, and she is prisoner to the Winter faery queen. As war looms between Summer and Winter, Meghan knows that that the real danger comes from the Iron Fey.",Julie Kagawa
Dumplin',"This beloved novel, a #1 New York Times bestseller, will soon be a major motion picture starring Danielle Macdonald and Jennifer Aniston.",Julie Murphy
The Shakespeare Requirement,"Lord, what fools these mortals be! Julie Schumacher proves the point and makes the most of it in this delicious romp of satire.",Julie Schumacher
This Is How You Lose Her,"Junot Diaz&#39;s new collection, This Is How You Lose Her, is a collection of linked narratives about love - passionate love, illicit love, dying love, maternal love - told through the lives of New Jersey Dominicans, as they struggle to find a ...",Junot Díaz
The Passage,Amy Harper Bellafonte is six years old and her mother thinks she&#39;s the most important person in the whole world.,Justin Cronin
"We Love You, Charlie Freeman",The power of this shattering novel resides in Greenidge’s undeniable storytelling talents.,Kaitlyn Greenidge
Beautiful Darkness,"Ethan Wate used to think of Gatlin, the small Southern town he had always called home, as a place where nothing ever changed.","Kami Garcia,Margaret Stohl"
The Association of Small Bombs,"After witnessing his two friends killed by a &quot;small&quot; bomb that detonated in a Dehli marketplace, Mansoor Ahmed becomes involved with a charismatic young activist, whose allegiances and beliefs are more changeable than he could have imagined ...",Karan Mahajan
Pretty Girls,"Powerful, poignant, and utterly gripping, packed with indelible characters and unforgettable twists, Pretty Girls is a masterful novel from one of the finest writers working today.",Karin Slaughter
Life After Life,"And if she can -- will she? Darkly comic, startlingly poignant, and utterly original -- this is Kate Atkinson at her absolute best.",Kate Atkinson
The Lake House,"&quot;A suspenseful new novel from beloved and internationally bestselling author Kate Morton, author of The Secret Keeper, The Distant Hours, The Forgotten Garden and The House at Riverton&quot;--",Kate Morton
Still Life with Monkey,"Yet the question persists: Is it enough? Katharine Weber is a masterful observer of humanity, and Still Life with Monkey, full of tenderness and melancholy, explores the conflict between the will to live and the desire to die.",Katharine Weber
The Kitchen House,"Working as an indentured servant alongside slaves on a tobacco plantation, Lavinia, a 7-year-old Irish orphan with no memory of her past, finds her light skin and situation placing her between two very different worlds that test her ...",Kathleen Grissom
Lillian Boxfish Takes a Walk,"A love letter to city life in all its guts and grandeur, Lillian Boxfish Takes a Walk paints a portrait of a remarkable woman across the canvas of a changing America: from the Jazz Age to the onset of the AIDS epidemic; the Great Depression ...",Kathleen Rooney
A Separation,"&quot; --Elle This is her story. About the end of her marriage. About what happened when Christopher went missing and she went to find him. These are her secrets, this is what happened.",Katie M. Kitamura
The Buried Giant,"&#39; The extraordinary new novel from the author of Never Let Me Go and the Booker Prize winning The Remains of the Day The Romans have long since departed, and Britain is steadily declining into ruin.",Kazuo Ishiguro
The Reckoning,"The gripping finale to the New York Times bestselling Darkest Powers trilogy! In the end, there&#39;s always a reckoning. Chloe Saunders&#39;s life is not what you would call normal.",Kelley Armstrong
Crooked Hallelujah,"The remarkable debut from Plimpton Prize Winner Kelli Jo Ford, Crooked Hallelujah follows four generations of Cherokee women across four decades",Kelli Jo Ford
The Evening and the Morning,"&quot;It is 997 CE, the end of the Dark Ages.",Ken Follett
Fall of Giants,"Follows the fates of five interrelated families--American, German, Russian, English and Welsh--as they move through the world-shaking dramas of World War I, the Russian Revolution and the struggle for women&#39;s suffrage.",Ken Follett
Anna Dressed in Blood,"Just your average boy-meets-girl, girl-kills-people story",Kendare Blake
China Rich Girlfriend,"&quot;Kevin Kwan, ... author of Crazy Rich Asians, is back with a ... new novel of social climbing, secret e-mails, art-world scandal, lovesick billionaires, and the outrageous story of what happens when Rachel Chu, engaged to marry Asia&#39;s most ...",Kevin Kwan
Crazy Rich Asians,"Envisioning a summer vacation in the humble Singapore home of a boy she hopes to marry, Chinese American Rachel Chu is unexpectedly introduced to a rich and scheming clan that strongly opposes their son&#39;s relationship with an American girl.",Kevin Kwan
"Baby, You're Gonna Be Mine","These stories all build on each other in strange and remarkable ways, showcasing Wilson&#39;s crackling wit and big heart.",KEVIN. WILSON
And the Mountains Echoed,I landsbyen Shadbagh i 1949 beslutter Saboor at forære sin datter Pari væk til familien Wahdati i Kabul.,Khaled Hosseini
The Heir,"Now find out what happens after happily ever after in this fourth captivating novel, perfect for fans of Veronica Roth’s Divergent, Lauren Oliver’s Delirium, or Renée Ahdieh’s The Wrath &amp; the Dawn.",Kiera Cass
The One,"The captivating third book in Kiera Cass’s #1 New York Times bestselling Selection series America Singer searches for her happily ever after in this swoon-worthy YA dystopian romance, perfect for readers who loved Veronica Roth’s ...",Kiera Cass
The Elite,"The second book in Kiera Cass’s #1 New York Times bestselling Selection series With even more glamour, intrigue, and swoon-worthy romance, this sparkling sequel to The Selection will captivate readers who loved Veronica Roth’s Divergent ...",Kiera Cass
"The Selection Series 1-5: the Selection, the Elite, the One, the HeirAnd the Crown","In Cass&#39;s first three books, we learned about the Selection and were introduced to America Singer, a spirited seventeen-year-old girl who is forced to compete for the chance to be her country&#39;s next princess.",Kiera Cass
Paranormalcy,"Sixteen-year-old Evie has always taken comfort in the fact that she is a normal human, even though her best friend is a mermaid and her ex-boyfriend is a lunatic - and a faery.",Kiersten White
Such a Fun Age,"&quot;Alix Chamberlain is a woman who gets what she wants and has made a living, with her confidence-driven brand, showing other women how to do the same.",Kiley Reid
Reconstructing Amelia,"In Reconstructing Amelia, the stunning debut novel from Kimberly McCreight, Kate&#39;s in the middle of the biggest meeting of her career when she gets the telephone call from Grace Hall, her daughter’s exclusive private school in Park Slope, ...",Kimberly McCreight
The DUFF,"Seventeen-year-old Bianca Piper starts sleeping with Wesley Rush, a notorious womanizer who disgusts her, in order to distract her from her personal problems, and to her surprise, the two of them find they have a lot in common and are able ...",Kody Keplinger
Mostly Dead Things,"For the first time, Jessa has no choice but to learn who these people truly are, and ultimately how she fits alongside them. Kristen Arnett&#39;s debut novel is a darkly funny, heart-wrenching, and eccentric look at loss and love.",Kristen Arnett
The Great Alone,"Alaska is a vast, magical landscape threaded by aquamarine rivers and immense white wastelands. But Alaska is called the Great Alone for a reason. Cut off from the rest of the United States, it&#39;s its own world.",Kristin Hannah
The Nightingale,"With life changing in unbelievably horrific ways, Viann and Isabelle will find themselves facing frightening situations and responding in ways they never thought possible as bravery and resistance take different forms in each of their ...",Kristin Hannah
Winter Garden,"Alternating between the past and present, Meredith and Nina will finally hear the singular, harrowing story of their mother’s life, and what they learn is a secret so terrible and terrifying that it will shake the very foundation of their ...",Kristin Hannah
The Age of Blight,The collection is illustrated throughout by the charcoal drawings of RISD artist Alessandra Hogan.,Kristine Ong Muslim
Daughter of Smoke and Bone,"In general, Karou has managed to keep her two lives in balance.",Laini Taylor
Afterland,"Children of Men meets The Handmaid&#39;s Tale in this &quot;bowstring-taut, visceral, and incredibly timely&quot; thriller about how far a mother will go to protect her son from a hostile world transformed by the absence of men (Cory Doctorow).",Lauren Beukes
Wither,"A stunning debut YA novel, destined to blow the dystopian genre wide open - The Handmaid&#39;s Tale for a new generation. This edition will contain a sneak preview of Fever, and a brand new short story by Lauren DeStefano: &quot;The First Bride&quot;.",Lauren DeStefano
Florida,A collection of stories spanning centuries of time in mercurial Florida examines the decisions and connections behind life-changing events in characters ranging from two abandoned sisters to a conflicted family woman.,Lauren Groff
Fates and Furies,"And sometimes, it turns out, the key to a great marriage is not its truths but its secrets. At the core of this rich, expansive, layered novel, Lauren Groff presents the story of one such marriage over the course of twenty-four years.",Lauren Groff
Passion,"Desperate to unlock the curse that condemns her love for Daniel, Luce revisits her past incarnations trying to understand her fate, but Daniel is chasing her throughout the centuries in order to keep her from rewriting their history.",Lauren Kate
Torment,"Hidden by her cursed angelic boyfriend in a school for Nephilim, Luce discovers the meaning of the Shadows that have always followed her and begins manipulating them to learn about her past lives.",Lauren Kate
Requiem,"As Lena navigates the increasingly dangerous terrain of the Wilds, her best friend, Hana, lives a safe, loveless life in Portland as the fiancée of the young mayor. Requiem is told from both Lena’s and Hana’s points of view.",Lauren Oliver
Pandemonium,"After falling in love, Lena and Alex flee their oppressive society where love is outlawed and everyone must receive &quot;the cure&quot; - an operation that makes them immune to the delirium of love - but Lena alone manages to find her way to a ...",Lauren Oliver
Delirium,"But meeting Alex, an enigmatic boy from the Wilds, might just make her question everything she&#39;s been raised to believe. &#39;One of the most addictive books we&#39;ve come across in ages . . . from one of the most exciting writers around&#39; Heat",Lauren Oliver
Before I Fall,"After she dies in a car crash, teenage Samantha relives the day of her death over and over again until, on the seventh day, she finally discovers a way to save herself.",Lauren Oliver
American Spy,"This is a face of the Cold War you&#39;ve never seen before, and it introduces a powerful new literary voice.",Lauren Wilkinson
Six of Crows,Six of Crows by Leigh Bardugo returns to the breathtaking world of the Grishaverse in this unforgettable tale about the opportunity--and the adventure--of a lifetime.,Leigh Bardugo
Ruin and Rising,A conclusion to the trilogy that includes Siege and Storm finds Alina forging new alliances as she and Mal search for Morozova&#39;s last amplifier only to discover a past that transforms her understanding of their bond and her powers.,Leigh Bardugo
Siege and Storm,This edition of the second novel of the Grisha TrilogyNthe follow-up to the &quot;New York Times&quot; bestseller &quot;Shadow and Bone&quot;Nincludes bonus content.,Leigh Bardugo
Shadow and Bone,"Orphaned by the Border Wars, Alina Starkov is taken from obscurity and her only friend, Mal, to become the protegâe of the mysterious Darkling, who trains her to join the magical elite in the belief that she is the Sun Summoner, who can ...",Leigh Bardugo
Red Clocks,"This is a story of resilience, transformation, and hope in tumultuous-even frightening-times.",Leni Zumas
"I'm Fine, But You Appear to Be Sinking","In these stories in which the strange and the mundane collide, there are strange experiences set in familiar places, and familiar experiences set in strange places.",Leyna Krow
Big Little Lies,"Follows three mothers, each at a crossroads, and their potential involvement in a riot at a school trivia night that leaves one parent dead in what appears to be a tragic accident, but which evidence shows might have been premeditated.",Liane Moriarty
The Husband's Secret,"Discovering a tattered letter that says she is to open it only in the event of her husband&#39;s death, Cecelia, a successful family woman, is unable to resist reading the letter and discovers a secret that shatters her life and the lives of ...",Liane Moriarty
The Diviners,"Seventeen-year-old Evie O&#39;Neill is thrilled when she is exiled from small-town Ohio to New York City in 1926, even when a rash of occult-based murders thrusts Evie and her uncle, curator of The Museum of American Folklore, Superstition, and ...",Libba Bray
"Good Morning, Midnight","The story of two outsiders--a lonely scientist in the Arctic and an astronaut trying to return to Earth--as they grapple with love, regret, and survival in a world transformed.",Lily Brooks-Dalton
Eat Only When You're Hungry,"In Lindsay Hunter&#39;s achingly funny, fiercely honest second novel, Eat Only When You&#39;re Hungry, we meet Greg--an overweight fifty-eight-year-old and the father of Greg Junior, GJ, who has been missing for three weeks.",Lindsay Hunter
The Leavers (National Book Award Finalist),"FINALIST FOR THE 2017 NATIONAL BOOK AWARD FOR FICTION Named a Best Book of 2017 by NPR, Entertainment Weekly, the Los Angeles Times, BuzzFeed, Bustle, and Electric Literature “There was a time I would have called Lisa Ko’s novel ...",Lisa Ko
November Road,"From Edgar Award-winning author Lou Berney, a poignant and evocative crime novel featuring a cat-and-mouse chase across 1960&#39;s America in the wake of the Kennedy assassination&quot;",Lou Berney
The Night Watchman,"A novel based on the life of &quot;Erdrich&#39;s grandfather, who worked as a night watchman and carried the fight against Native dispossession from rural North Dakota all the way to Washington, D.C.&quot;--Dust jacket flap.",Louise Erdrich
What We Were Promised,"From a silk-producing village in rural China, up the corporate ladder in suburban America, and back again to the post-Maoist nouveaux riches of modern Shanghai, What We Were Promised explores the question of what we owe to our country, our ...",Lucy Tan
A Children's Bible,Pulitzer Prize finalist Lydia Millet&#39;s sublime new novel--her first since the National Book Award-longlisted Sweet Lamb of Heaven--follows a group of eerily mature children on a forced vacation with their parents at a lakeside mansion.,Lydia Millet
The Girl with All the Gifts,Melanie is a very special girl.,M. R. Carey
The Light Between Oceans,&quot;Now a major motion picture&quot;--Front cover.,M.L. Stedman
Circe,"With unforgettably vivid characters, mesmerizing language, and page-turning suspense, Circe is a triumph of storytelling, an intoxicating epic of family rivalry, palace intrigue, love and loss, as well as a celebration of indomitable female ...",Madeline Miller
The Song of Achilles,Greece in the age of Heroes.,Madeline Miller
"Blue Lily, Lily Blue","The third book in the mesmerizing series from bestselling author, Maggie Stiefvater.",Maggie Stiefvater
The Dream Thieves,"Now that the ley lines around Cabeswater are awake, magic is swirling around Blue and The Raven boys and Ronan Lynch&#39;s ability to pull objects from his dreams is almost out of control but worst of all, the mysterious Gray Man is stalking ...",Maggie Stiefvater
The Raven Boys,"This is the first book in a new quarter from the bestselling author of SHIVER. Blue has always been told that if she kisses her true love, he will die. Look out for the next book, THE DREAM THIEVES, out 18th September 2013!",Maggie Stiefvater
Forever,A human girl and her werewolf boyfriend must fight for their love as death comes closing in.,Maggie Stiefvater
The Scorpio Races,"A stunning new novel from the bestselling author of SHIVER, LINGER AND FOREVER. Stay alive, stay astride, stay out of the water... Every November, the Scorpio Races are run beneath the chalk cliffs of Skarmouth.",Maggie Stiefvater
Linger,"As Grace hides the vast depth of her love for Sam from her parents and Sam struggles to release his werewolf past and claim a human future, a new wolf named Cole wins Isabel&#39;s heart but his own past threatens to destroy the whole pack.",Maggie Stiefvater
Mother of All Pigs,"Hussein&#39;s illegal pork business has started to cause some headaches, and not just because of his permanent hangovers-- the town is tired of the smell, a mujahid has arrived on his doorstep, his American niece is visiting, and his sister has ...",Malu Halasa
The Language of Flowers,A beautiful gift book celebrating the forgotten language of flowers,"Mandy Kirkby,Vanessa Diffenbaugh"
The Regional Office is Under Attack!,"When a prophecy suggests that an insider might bring about the downfall of a powerful underground organization known as the Regional Office, devoted recruit Sarah and young assassin Rose find their respective lives clashing in a dispute ...",Manuel Gonzales
The Red Car,"When Leah&#39;s former boss and mentor, Judy, dies in an accident and leaves Leah her red sports car, Leah takes off to San Francisco to claim the car, revisiting past lives and loves in a self she abandoned years ago.",Marcy Dermansky
The Mere Wife,A retelling of Beowulf set in contemporary American suburbia from the perspective of Grendel and his mother.,Maria Dahvana Headley
"Where'd You Go, Bernadette","And Bee must take a trip to the end of the earth to find her. WHERE&#39;D YOU GO, BERNADETTE is a compulsively readable, irresistibly written, deeply touching novel about misplaced genius and a mother and daughter&#39;s place in the world.",Maria Semple
The Young Elites,"He believes the Young Elites to be dangerous and vengeful, but it&#39;s Teren who may possess the darkest secret of all.Enzo Valenciano is a member of the Dagger Society.",Marie Lu
Prodigy,"In this &quot;New York Times&quot;-bestselling sequel to &quot;Legend, &quot; June and Day make their way to Las Vegas where they join the rebel Patriot group and become involved in an assassination plot against the Elector in hopes of saving the Republic.",Marie Lu
Champion,"June and Day&#39;s hopes for peace are shattered by a plague outbreak that renews warfare throughout the panicked Colonies, a situation that forces the Republic to consider a means of defense that threatens everything Day has worked for.",Marie Lu
Legend,"In a dark future, when North America has split into two warring nations, 15-year-olds Day, a famous criminal, and June, the brilliant soldier hired to capture him, discover that they have a common enemy.P. Putnam&#39;s Sons.",Marie Lu
The Winner's Curse,"An aristocratic girl who is a member of a warmongering and enslaving empire purchases a slave, an act that sets in motion a rebellion that might overthrow her world as well as her heart.",Marie Rutkoski
The Taste of Sugar,"Writing in the tradition of great Latin American storytelling, Marisel Vera&#39;s The Taste of Sugar is an unforgettable novel of love and endurance, and a timeless portrait of the reasons we leave home.",Marisel Vera
Winter,"Here is the stunning conclusion to the national bestselling Lunar Chronicles, inspired by Snow White.",Marissa Meyer
Fairest,Don&#39;t miss these other books from #1 New York Times- and USA Today-Bestselling author Marissa Meyer: The Lunar Chronicles: Cinder Scarlet Cress Winter Stars Above Fairest The Lunar Chronicles Coloring Book Wires and Nerve: Vol. 1 Wires and ...,Marissa Meyer
Cress,"Working to overthrow Queen Levana, a fugitive Cinder and her companions search for Rapunzel-like hacker Cress, who has been trapped on a satellite since childhood and who has received orders from Levana to foil Cinder&#39;s efforts.",Marissa Meyer
Scarlet,"The second book in the #1 New York Times- and USA Today- Bestselling Lunar Chronicles series by Marissa Meyer like you’ve never seen it before, now with new cover art!",Marissa Meyer
Cinder,"As plague ravages the overcrowded Earth, observed by a ruthless lunar people, Cinder, a gifted mechanic and cyborg, becomes involved with handsome Prince Kai and must uncover secrets about her past in order to protect the world in this ...",Marissa Meyer
