Theory of Bastards,&quot;Recovering.,Audrey Schulman
The Readymade Thief,"&quot;Lee Cuddy is 17 years old and on the run, alone on the streets of Philadelphia.",Augustus Rose
Title,Summary,Author
Modern Romance,"The acclaimed comedian teams up with a New York University sociologist to explore the nature of modern relationships, evaluating how technology is shaping contemporary relationships and considering the differences between courtships of the ...","Aziz Ansari,Eric Klinenberg"
Silence,"After having overcome tremendous challenges to save a love that transcends the boundary between heaven and earth, Nora and Patch must face an adversary with the power to destroy all that they have worked for.",Becca Fitzpatrick
Crescendo,Sixteen-year-old Nora Grey struggles to face the truth while coping with having a fallen angel boyfriend named Patch and unraveling the mystery surrounding her father&#39;s death.,Becca Fitzpatrick
Simon Vs. the Homo Sapiens Agenda,"Sixteen-year-old, not-so-openly-gay Simon Spier is blackmailed into playing wingman for his classmate or else his sexual identity--and that of his pen pal--will be revealed.",Becky Albertalli
The Topeka School,"&quot;Adam Gordon is a senior at Topeka High School, class of &#39;97.",Ben Lerner
Aristotle and Dante Discover the Secrets of the Universe,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents, and his family that he has never asked before.",Benjamin Alire Sáenz
Across the Universe,"Teenaged Amy, a cryogenically frozen passenger on the spaceship Godspeed, wakes up to discover that someone may have tried to murder her.",Beth Revis
Shadows of Self,Elendel is crisscrossed by canals and railways and towers reach for the sky but this is still a city of dangers and of magic; Allomancy and Feruchemy can still change the world. Wax faces many more adventures.,Brandon Sanderson
Words of Radiance,"The war with the Parshendi moves into a new, dangerous phase, as Dalinar leads the human armies deep into the heart of the Shattered Plains.",Brandon Sanderson
Steelheart,The author of the #1 &quot;New York Times&quot;-bestselling Mistborn trilogy begins a new series.,Brandon Sanderson
The Alloy of Law,A brand new Mistborn story. One of Fantasy&#39;s most exciting new global stars returns to the world that built his reputation,Brandon Sanderson
The Way of Kings,"A new epic series by the best-selling writer of Robert Jordan&#39;s final Wheel of Time® novels introduces the world of Roshar through the experiences of a war-weary royal compelled by visions, a highborn youth condemned to military slavery ...",Brandon Sanderson
Real Life,"An elegant, brutal and startlingly intimate novel from an electric new voice.",Brandon Taylor
Rising Strong,"This is a book about what it takes to get back up and how owning our stories of disappointment, failure, and heartbreak gives us the power to write a daring new ending.",Brené Brown
The Black Prism,The first instalment in the compelling new fantasy series from the author of the internationally bestselling Night Angel Trilogy.,Brent Weeks
A Collapse of Horses,"With minimalist literary horror, BrianEvenson&#39;s stories work a nightmare axis of doubt, paranoia, and every day life.&quot;",Brian Evenson
Saga,"A child born to parents from opposite sides of a never-ending space war, Hazel is taken on the run by her fugitive family as they risk everything to find a peaceful future in a harsh universe.",Brian K. Vaughan
The Vanishing Half,"Looking well beyond issues of race, The Vanishing Half considers the lasting influence of the past as it shapes a person&#39;s decisions, desires, and expectations, and explores some of the multiple reasons and realms in which people sometimes ...",Brit Bennett
The Mothers,"A surprising story about young love, a big secret in a small community--and the things that ultimately haunt us most.",Brit Bennett
Just Mercy,New York Times Bestseller Time Top 10 Nonfiction Book,Bryan Stevenson
Memorial,&quot;A rom-com novel about two young people at a crossroads in their relationship&quot;--,Bryan Washington
How Much of These Hills Is Gold,"Both epic and intimate, blending Chinese symbolism and reimagined history with fiercely original language and storytelling, How Much of These Hills Is Gold is a haunting adventure story, an unforgettable sibling story, and the announcement ...",C. Pam Zhang
The Doll's Alphabet,"Surreal, ambitious and exquisitely conceived, these are stories in the tradition of Angela Carter, Franz Kafta, and Margaret Atwood.",Camilla Grudova
How to Behave in a Crowd,Eleven-year-old &quot;Isidore has never skipped a grade or written a dissertation [as his five accomplished siblings have].,Camille Bordas
When Katie Met Cassidy,&quot;A film-ready rom-com about finding love when you least expect it.,Camille Perri
Her Body and Other Parties,Contains short stories about the realities of women&#39;s lives and the violence visited upon their bodies.,Carmen Maria Machado
Tell the Wolves I'm Home,My sister Greta and I were having our portrait painted by our Uncle Finn that afternoon because he knew he was dying . . .,Carol Rifka Brunt
You,"Meeting at an East Village bookstore, aspiring writer Guinevere Beck and store employee Joe embark on an intimate relationship, only to suffer deadly consequences when their passion spirals out of control. 300,000 first printing.",Caroline Kepnes
City of Heavenly Fire,"Lives will be lost, love sacrificed, and the whole world will change. Who will survive the explosive sixth and final instalment of the &#39;Mortal Instruments&#39; series?",Cassandra Clare
Clockwork Princess,He needs Tessa.,Cassandra Clare
City of Lost Souls,"When Jace vanishes with Sebastian, Clary and the Shadowhunters struggle to piece together their shattered world and Clary infiltrates the group planning the world&#39;s destruction.",Cassandra Clare
City of Fallen Angels,City of Fallen Angels is the fourth book in the bestselling series The Mortal Instruments.,Cassandra Clare
